Gross Output by Industry
Gross Output by Industry
"Release Date: November 16, 2021"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"    86","    Accommodation and food services",23.1,23.5,24.8,25.9,27.8,30.7,33.4,35.3,39.6,42.9,47.8,50.0,56.9,63.0,68.3,76.4,85.6,93.3,106.0,121.6,133.5,148.1,157.7,171.1,186.7,199.9,214.6,237.8,263.7,279.4,300.2,307.3,322.1,341.9,361.7,377.5,397.5,423.4
"    87","      Accommodation",3.9,4.0,4.3,4.6,5.2,6.0,6.8,8.0,8.8,9.5,10.3,10.1,12.5,13.6,14.4,15.8,18.0,19.5,22.3,26.2,29.0,33.6,35.7,38.9,45.2,50.6,53.8,61.2,67.3,70.9,74.7,76.0,82.5,87.5,94.8,101.5,109.2,116.5
"    88","      Food services and drinking places",19.2,19.5,20.5,21.3,22.7,24.6,26.5,27.3,30.8,33.5,37.5,39.9,44.4,49.4,53.9,60.5,67.5,73.8,83.7,95.4,104.6,114.5,122.0,132.1,141.5,149.3,160.8,176.5,196.4,208.5,225.6,231.3,239.6,254.4,266.9,276.0,288.3,307.0
"    89","  Other services, except government",23.9,25.2,26.7,28.2,30.2,32.4,34.9,37.8,39.9,41.7,43.9,45.9,47.8,51.4,55.3,61.4,68.8,78.1,85.6,93.6,99.7,107.7,113.0,127.3,143.2,161.6,173.4,190.4,211.5,229.7,243.4,243.2,266.9,278.8,299.0,321.7,339.9,352.0
"    90",Government,102.0,107.9,118.2,126.1,133.9,144.3,162.5,182.1,203.0,219.5,236.0,256.3,278.7,297.2,330.0,366.0,391.8,424.8,466.6,512.7,573.8,644.6,706.9,762.7,817.7,892.3,955.8,1004.9,1067.4,1150.0,1237.7,1317.7,1382.4,1431.7,1492.3,1548.4,1599.0,1665.2
"    91","  Federal",58.4,60.4,67.2,70.4,73.2,77.4,88.3,100.2,110.4,115.2,117.6,123.1,131.4,134.5,146.5,157.2,167.3,180.3,197.3,215.6,244.5,280.0,306.5,330.6,350.2,379.8,402.0,415.9,434.5,458.3,484.4,511.8,519.9,519.4,524.6,527.0,530.6,541.5
"    92","    General government",53.7,55.5,62.1,64.6,66.9,70.6,81.2,92.5,101.5,105.6,107.7,112.5,119.2,122.2,131.7,142.3,148.6,160.8,175.0,191.2,218.2,247.9,273.4,295.9,313.6,339.0,359.4,371.3,385.9,406.7,429.8,453.0,459.0,456.6,458.7,456.2,457.0,465.1
"    93","      National defense",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    94","      Nondefense",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"    95","    Government enterprises",4.7,4.8,5.1,5.8,6.3,6.7,7.1,7.7,8.9,9.5,9.9,10.6,12.2,12.3,14.8,14.9,18.7,19.5,22.2,24.4,26.3,32.1,33.2,34.7,36.6,40.8,42.6,44.7,48.5,51.6,54.7,58.8,60.9,62.8,65.9,70.8,73.7,76.4
"    96","  State and local",43.5,47.5,51.0,55.7,60.7,66.9,74.2,81.9,92.6,104.3,118.4,133.2,147.3,162.6,183.5,208.8,224.5,244.5,269.3,297.1,329.3,364.6,400.4,432.1,467.5,512.5,553.8,589.0,632.9,691.7,753.3,805.9,862.5,912.3,967.7,1021.3,1068.4,1123.6
"    97","    General government",38.4,41.9,44.7,48.4,52.8,58.3,65.1,72.2,81.9,92.7,105.6,119.4,132.2,145.7,165.3,188.5,203.0,221.4,242.1,266.7,295.1,326.4,355.6,381.6,410.2,449.0,484.4,519.5,558.6,611.8,668.7,716.9,769.2,810.9,857.7,904.5,944.4,993.5
"    98","    Government enterprises",5.1,5.6,6.3,7.3,7.9,8.6,9.1,9.7,10.7,11.6,12.8,13.8,15.0,16.9,18.2,20.3,21.5,23.1,27.1,30.3,34.2,38.2,44.7,50.6,57.3,63.6,69.4,69.6,74.3,79.9,84.6,89.0,93.3,101.5,110.0,116.8,124.0,130.1
"    99",Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    100","    Private goods-producing industries [1]",493.5,494.6,529.8,553.7,587.2,643.7,698.8,718.0,776.7,831.9,832.2,892.2,1002.6,1168.7,1331.9,1361.9,1533.1,1740.2,1972.7,2263.2,2435.0,2681.5,2593.2,2684.0,2982.0,3025.9,2968.5,3215.6,3456.1,3642.1,3738.1,3644.8,3799.7,3961.6,4251.5,4529.8,4758.2,5041.8
"    101","    Private services-producing industries [2]",410.5,427.2,457.5,483.2,521.5,568.0,617.8,654.9,710.1,773.5,834.8,900.8,992.5,1090.2,1215.8,1327.4,1509.8,1707.7,1927.5,2149.6,2453.2,2707.5,2875.0,3184.2,3514.2,3857.5,4106.7,4487.0,4910.8,5277.8,5648.8,5845.5,6198.9,6631.1,7083.0,7575.1,8106.2,8686.4
"    102","    Information-communications-technology-producing industries [3]",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
